X,Y,W,H
722,338,34,35
15,50,34,32
492,291,189,306
230,368,281,144
24,470,738,129
378,345,315,106
235,393,154,125
289,367,123,66
2,298,678,251
146,483,58,41
439,346,349,169
409,328,29,49
454,177,19,29
12,275,25,157
414,165,64,54
31,269,171,104
522,265,130,122
19,266,632,293
241,169,28,28
504,226,27,67
95,197,16,21
72,89,221,147
196,249,99,276
37,296,97,134
251,91,60,24
262,324,51,166
432,44,21,44
0,1,321,598
196,281,32,49
605,4,32,21
448,172,132,177
416,269,36,43
579,164,51,59
83,41,28,38
408,342,25,82
247,293,37,27
45,46,98,159
169,39,74,358
497,360,102,82
22,280,44,46
271,180,60,61
137,230,54,117
389,89,72,72
2,2,160,476
127,239,511,184
198,255,108,59
590,448,52,66
164,244,235,66
0,321,798,278
525,355,76,118
21,24,31,69
414,160,80,68
59,308,316,105
336,330,49,118
160,85,16,20
544,200,74,260
443,333,53,132
81,1,59,46
225,209,370,310
294,261,268,232
351,324,163,155
464,19,188,426
245,166,251,426
156,112,363,429
285,192,213,236
610,64,84,124
527,169,77,188
227,187,184,178
243,112,222,373
4,284,788,315
594,258,194,254
84,346,163,232
468,297,180,288
1,21,100,192
417,183,141,54
52,254,228,66
66,306,125,107
328,155,153,108
616,346,91,155
131,0,468,44
112,180,202,108
2,4,637,474
287,172,66,116
44,32,45,60
559,325,26,36
623,336,174,90
145,153,61,101
320,318,48,166
61,141,27,19
92,148,23,14
1,124,133,106
60,256,122,90
56,52,199,107
217,147,36,49
183,193,50,43
211,13,27,99
330,113,67,145
337,311,211,94
668,126,46,66
82,122,25,74
618,284,49,108
59,272,41,138
40,315,185,132
104,0,34,34
245,163,229,304
373,513,42,74
434,415,326,177
295,338,57,133
585,355,70,106
263,247,230,101
90,232,62,125
318,282,264,112
492,237,19,27
143,308,83,36
74,2,46,24
37,219,164,69
318,393,254,205
199,230,170,125
178,390,612,209
322,239,20,75
560,294,238,235
240,143,258,294
74,365,190,73
396,369,137,81
308,377,104,70
321,370,178,83
347,358,264,173
484,245,10,17
257,383,162,64
0,88,312,48
688,288,101,116
656,129,54,113
676,195,74,376
480,188,110,175
9,312,302,144
599,118,34,107
76,22,217,576
304,187,70,91
390,295,129,153
6,249,788,333
0,309,34,20
1,436,796,162
195,198,602,115
480,334,64,81
296,123,224,213
72,323,9,20
615,451,91,145
376,251,32,46
466,271,33,19
610,312,42,67
33,507,41,52
43,401,138,64
408,55,155,193
317,326,480,272
106,355,187,220
460,360,66,162
264,262,27,125
94,335,113,182
10,137,786,461
270,58,192,648
25,416,91,102
188,125,83,256
75,26,346,210
123,277,234,251
209,88,196,241
320,73,60,68
621,406,88,130
345,239,142,62
151,57,382,202
453,56,346,538
317,95,289,361
94,48,183,154
357,196,86,164
3,4,365,582
4,5,773,588
453,80,307,332
72,466,360,128
432,329,27,24
3,229,162,363
165,347,100,104
386,133,109,397
107,230,481,330
3,258,92,165
334,145,78,88
213,288,54,112
563,249,46,61
176,424,107,102
32,113,94,147
592,225,170,154
368,257,216,340
197,5,105,139
12,595,414,203
150,146,198,492
169,442,157,38
372,485,365,114
154,50,578,451
46,191,520,397
506,190,177,155
22,169,321,393
42,1,755,240
329,128,66,181
478,0,99,150
320,254,164,256
509,327,152,208
54,58,361,378
5,3,354,459
307,181,36,73
2,125,277,172
296,198,178,124
439,250,147,213
2,2,792,594
719,144,44,37
421,130,91,130
336,131,201,371
248,127,155,237
152,191,160,160
177,228,353,152
24,499,137,85
495,145,203,304
0,1,602,796
67,213,53,61
421,18,27,20
224,424,352,228
637,125,81,188
125,141,540,346
6,5,787,593
197,473,188,319
23,174,23,29
135,134,31,26
1,140,65,58
206,321,490,233
33,243,196,118
23,236,225,150
631,51,165,107
592,393,54,33
76,464,193,58
346,275,346,150
354,231,246,197
252,355,61,128
650,115,37,106
403,175,28,29
603,280,192,170
16,257,122,98
495,265,208,155
288,238,66,82
684,215,74,161
2,571,33,74
648,313,85,77
3,1,80,344
231,225,18,50
2,394,231,86
43,184,180,200
296,219,106,157
256,202,29,105
332,349,92,49
378,356,420,140
199,117,58,61
131,327,227,126
615,312,140,50
371,279,22,41
406,610,64,44
154,7,644,412
604,226,45,85
364,280,61,117
150,204,195,76
531,361,48,73
275,299,43,35
493,324,25,74
296,479,329,99
136,744,192,20
616,271,182,308
3,421,793,177
90,461,67,52
2,3,745,169
607,404,136,125
129,255,489,267
0,186,103,44
324,151,314,448
171,251,268,142
151,232,149,209
232,214,132,122
296,217,32,60
32,410,649,146
589,80,43,116
98,338,156,48
158,269,268,92
536,99,57,88
3,315,154,80
229,442,131,50
505,1,224,104
254,415,66,102
500,339,50,85
301,471,74,174
371,500,29,45
246,395,198,101
234,66,155,98
355,195,19,11
2,386,788,196
0,366,797,233
196,350,592,248
47,258,64,120
383,722,138,76
529,210,114,320
404,261,42,51
418,125,278,253
275,38,349,475
144,73,499,434
560,282,124,120
630,274,41,43
48,359,38,72
316,323,102,106
194,332,289,138
634,212,163,50
202,260,178,90
301,314,275,96
201,103,106,78
192,32,88,89
1,206,797,57
10,378,782,134
48,103,736,492
206,20,394,219
235,369,43,58
370,293,164,64
367,305,310,204
254,248,121,43
14,384,94,84
24,379,92,59
0,0,177,328
406,295,346,204
238,0,188,293
486,120,118,293
194,416,62,45
165,453,113,77
378,365,420,78
33,12,766,574
510,393,42,48
462,449,153,144
574,411,103,74
349,452,76,121
232,110,98,83
89,269,53,121
140,73,61,489
716,195,82,184
399,317,77,27
302,72,35,61
487,214,57,70
338,79,460,286
490,164,153,107
114,196,294,271
187,104,180,328
165,83,384,411
457,451,86,60
3,1,325,250
472,206,24,72
317,80,37,48
140,139,190,104
284,222,152,99
164,279,42,26
323,103,297,269
94,65,573,402
4,276,69,49
182,380,481,66
421,455,104,27
187,342,241,141
441,329,36,131
454,382,344,211
525,315,233,227
0,0,797,400
361,434,42,28
218,321,73,114
250,314,19,38
212,33,106,99
478,220,35,187
213,259,100,185
488,358,51,162
2,7,796,586
574,412,139,75
191,292,292,201
104,96,137,305
7,4,764,594
722,421,72,66
114,401,501,33
291,344,71,60
57,77,416,537
490,431,77,113
8,7,790,592
0,425,100,117
360,465,21,36
36,308,314,288
50,80,613,440
189,239,21,25
381,338,28,40
276,143,28,259
36,44,673,438
636,355,35,65
224,329,184,100
148,331,278,171
118,405,237,66
9,294,308,226
104,461,648,138
336,3,374,241
307,377,52,163
515,401,36,51
3,53,58,105
38,469,90,126
69,57,674,156
574,490,56,67
118,18,53,94
346,238,33,52
678,371,46,123
241,360,70,117
0,273,211,86
557,334,64,170
419,230,61,82
205,373,124,82
425,161,22,147
200,311,64,68
274,97,32,262
312,492,52,40
135,179,22,66
147,268,304,214
1,0,794,204
375,218,25,108
72,436,99,128
2,216,796,382
600,169,40,86
460,17,134,166
131,469,67,48
471,406,58,37
66,88,662,409
551,306,36,56
101,58,618,500
368,382,244,122
195,356,52,123
355,138,13,20
548,264,57,30
123,18,139,313
292,347,97,70
145,395,21,27
158,260,328,181
129,58,210,421
590,465,76,43
481,605,90,68
256,385,33,54
464,258,209,186
586,44,212,84
140,53,298,73
294,94,180,88
645,366,80,57
253,0,467,562
4,236,254,362
115,393,273,137
488,64,164,72
200,244,436,203
59,272,31,42
414,327,29,72
686,251,10,25
530,275,112,77
112,270,50,74
314,291,242,107
158,169,244,358
2,72,64,157
339,397,28,88
668,301,26,56
472,234,7,27
58,426,32,28
184,291,614,294
412,360,18,34
66,109,525,260
3,1,545,260
541,54,106,41
529,262,266,128
179,214,19,35
374,399,334,153
353,417,101,168
2,259,332,285
485,101,51,105
744,142,34,60
95,453,77,62
57,28,22,14
73,169,345,75
537,345,22,42
332,260,33,60
89,77,578,489
277,40,154,85
54,299,32,72
291,274,78,73
236,64,26,81
460,291,34,222
32,180,27,50
53,327,16,64
273,392,90,98
73,366,70,166
43,26,692,384
301,389,168,86
568,378,77,212
637,384,60,179
324,116,14,32
667,236,60,104
226,304,355,270
266,387,51,41
350,271,67,227
18,535,248,62
595,46,34,36
449,418,19,10
335,491,42,40
351,414,170,88
50,63,425,283
466,8,74,450
180,206,541,253
10,320,164,77
230,355,172,117
65,334,217,134
528,346,40,73
0,120,797,325
228,326,124,64
160,178,65,153
235,356,32,40
238,207,470,227
62,202,725,314
5,257,793,341
646,376,152,75
717,304,17,16
326,445,473,140
49,342,250,109
483,6,112,100
448,298,171,138
350,316,30,28
186,42,49,70
0,377,437,96
593,411,124,102
122,278,198,59
113,309,317,185
713,444,85,72
109,112,82,34
88,229,356,317
46,349,120,12
225,398,521,141
6,357,16,26
339,5,21,21
0,2,222,363
93,426,26,21
339,212,40,96
614,310,125,88
554,109,222,387
228,261,314,264
400,78,42,44
63,207,20,13
13,126,584,325
451,377,55,15
179,361,147,113
349,249,325,198
5,236,481,149
2,299,35,141
364,303,154,89
306,258,37,258
155,212,27,156
435,242,139,283
0,388,796,122
574,432,30,67
593,310,204,173
2,1,793,180
8,572,10,23
719,173,78,218
67,291,59,60
738,22,28,60
16,223,781,368
265,288,128,41
412,451,38,32
46,329,451,165
592,384,106,120
402,285,156,94
386,1,32,44
381,166,11,25
30,70,597,407
5,52,609,426
352,296,128,52
273,227,49,21
120,305,131,84
129,359,120,96
7,149,375,204
111,73,487,405
75,4,257,475
86,382,81,49
114,24,189,307
270,310,65,15
50,51,563,474
15,95,100,202
211,208,314,269
4,6,269,518
60,72,536,405
210,339,6,49
27,28,278,307
243,142,366,237
5,4,793,585
240,221,151,128
353,224,100,112
19,43,485,165
364,227,98,42
299,147,477,148
64,99,547,377
3,7,631,471
30,129,483,157
340,255,129,73
296,129,24,36
208,0,548,525
10,20,788,573
314,234,65,32
151,50,48,58
32,58,258,411
4,0,303,479
1,75,357,341
176,39,305,202
64,311,27,44
129,221,58,147
167,167,60,60
342,74,16,23
76,97,643,73
138,241,49,99
133,453,32,22
4,0,634,475
512,107,69,160
94,47,442,429
302,124,300,233
137,97,278,146
250,57,309,421
570,167,20,70
244,156,300,340
415,372,79,92
346,427,73,32
149,51,193,423
332,231,10,9
80,197,190,117
304,86,160,305
1,6,793,259
12,107,365,118
101,439,205,51
240,202,30,44
277,36,102,96
431,311,67,189
450,422,115,110
0,616,532,182
428,42,46,219
290,135,96,40
424,149,100,77
235,267,249,158
29,175,51,47
211,185,171,77
6,207,114,101
209,178,42,38
111,116,182,98
126,115,380,265
32,250,5,11
0,331,599,464
409,360,16,30
233,0,30,110
275,28,44,386
32,584,138,61
66,242,518,158
75,55,72,56
311,271,285,138
320,339,43,107
3,429,21,28
469,1,128,147
96,355,39,60
284,506,44,66
363,366,35,54
53,397,163,337
333,56,110,77
6,457,583,341
43,353,23,63
32,176,58,67
7,8,780,524
181,217,123,127
249,75,220,271
188,301,11,12
110,60,362,368
243,232,117,73
562,1,172,335
269,143,137,55
58,272,51,115
39,125,385,138
36,108,166,118
11,21,772,568
64,88,216,164
267,286,22,51
208,128,37,54
177,365,84,25
153,153,493,321
2,1,795,531
329,181,162,137
67,0,85,227
114,484,63,78
165,393,34,156
470,186,43,66
105,120,73,44
262,149,73,108
206,424,82,122
5,2,624,423
324,127,352,375
358,265,46,24
46,209,32,21
515,447,241,46
123,60,114,209
270,198,29,18
296,205,86,30
219,173,42,46
192,0,397,421
191,135,432,398
636,101,51,51
546,74,94,153
232,118,107,71
150,371,117,107
440,225,25,20
46,466,131,67
391,145,190,148
77,72,84,44
410,295,66,45
405,97,91,105
286,258,75,93
286,144,75,93
286,144,75,93
96,4,19,259
266,133,69,86
309,145,95,127
55,224,279,199
224,26,65,55
251,126,66,82
668,204,54,38
106,131,77,44
83,152,202,26
300,94,198,124
183,92,48,59
364,76,86,128
161,352,42,52
258,130,67,84
286,144,75,93
1,4,365,260
229,29,60,74
140,126,563,291
648,443,150,155
187,173,49,61
65,207,34,18
172,395,45,56
147,168,55,53
274,52,73,57
80,91,51,25
161,145,42,52
653,437,29,25
215,727,56,70
247,124,65,80
289,103,62,78
63,292,59,60
525,239,52,43
349,256,89,41
13,229,89,25
187,164,109,170
440,194,12,5
292,256,27,35
106,59,25,32
264,335,84,264
171,110,56,61
176,0,94,120
286,37,75,93
301,151,50,209
286,258,75,93
273,104,105,294
190,19,49,62
286,37,75,93
662,447,136,48
174,160,28,53
191,176,18,58
237,273,88,59
421,468,71,161
74,443,116,133
276,85,81,62
532,17,68,91
197,177,51,64
275,28,72,89
57,283,173,154
148,127,182,362
179,18,47,58
120,417,65,42
286,258,75,93
286,258,75,93
287,393,87,34
229,206,60,74
215,408,56,70
154,294,40,50
286,144,74,93
388,149,57,43
138,129,229,177
538,214,61,67
326,1,200,212
701,311,73,48
229,212,60,74
286,373,75,93
659,77,34,290
186,100,54,57
54,172,316,166
12,180,116,216
396,215,36,64
123,177,101,26
198,212,101,99
123,175,44,52
125,282,33,41
14,146,134,430
161,81,42,52
621,268,79,57
293,33,39,53
115,202,255,78
323,130,75,66
469,205,156,211
394,248,32,25
22,126,465,107
91,139,73,124
173,272,30,30
179,18,47,58
135,231,269,64
400,263,90,97
179,161,47,58
6,223,260,256
275,138,72,89
221,391,166,116
172,86,45,56
190,681,49,62
197,177,51,64
20,24,297,221
143,383,375,18
155,295,29,26
229,206,60,74
109,129,17,68
413,471,57,126
233,117,61,76
229,24,60,74
215,377,56,70
203,147,75,91
258,347,34,68
91,63,656,528
358,473,436,94
36,417,10,16
286,37,75,93
719,469,13,18
358,162,38,45
35,117,92,28
0,1,580,199
81,234,110,111
286,144,75,93
48,115,16,105
286,144,75,93
234,261,17,30
154,16,40,50
354,285,89,132
24,103,312,180
52,173,17,14
6,21,390,220
180,23,47,59
342,41,110,117
150,397,23,4
379,207,381,204
1,14,282,219
442,158,24,57
91,217,24,29
0,256,328,21
538,249,98,81
320,201,38,29
65,385,173,133
160,80,42,52
206,268,54,67
411,77,66,210
7,226,322,123
286,144,75,93
286,37,75,93
340,369,110,59
286,37,75,93
639,557,99,42
286,144,75,93
122,251,325,221
332,249,16,26
4,256,360,104
286,37,75,93
381,226,61,64
286,37,75,93
364,221,84,95
152,429,60,35
259,55,24,27
183,92,48,59
493,228,35,59
229,115,60,74
77,104,27,291
278,286,21,16
1,0,94,187
59,20,72,106
13,14,344,263
229,115,60,74
484,440,38,43
40,277,38,83
134,415,35,43
253,151,17,41
179,161,47,58
143,129,37,46
94,219,16,17
240,83,26,28
186,84,100,37
188,88,61,56
86,75,32,30
143,72,37,46
238,154,10,16
3,184,97,94
191,159,6,5
359,40,33,52
143,72,37,46
0,0,338,250
-1,189,153,109
269,96,33,26
179,90,46,58
372,315,67,55
25,185,105,90
179,233,47,58
387,134,42,133
95,23,390,287
147,219,120,55
179,23,47,58
316,142,42,65
179,161,47,58
179,18,47,58
126,281,50,60
382,189,57,185
14,270,36,48
0,348,104,131
112,153,167,169
194,265,51,45
132,13,34,43
259,134,21,12
20,85,47,100
42,6,30,44
65,6,21,20
135,68,35,44
102,96,22,24
182,39,28,28
171,100,105,50
191,126,57,207
81,109,13,14
274,141,71,164
470,236,48,118
125,63,33,41
46,20,98,104
332,41,58,151
37,175,59,89
88,273,13,2
187,157,93,89
243,122,64,79
198,423,11,28
271,83,15,18
7,109,137,99
6,128,352,117
140,162,458,403
169,225,50,46
94,255,40,68
125,63,33,41
30,24,246,284
195,303,51,63
57,20,34,61
62,241,37,50
124,452,368,113
21,111,315,59
266,286,92,22
521,388,20,56
18,248,167,134
270,298,122,132
35,12,554,459
23,306,614,171
357,478,262,544
272,325,48,185
408,201,232,444
207,82,412,873
871,20,128,67
228,17,633,491
50,65,972,576
443,461,383,214
222,205,80,45
199,49,267,593
1,1,634,296
247,135,686,405
526,8,99,108
451,5,386,578
545,51,476,617
368,319,105,70
293,722,384,152
145,132,876,617
110,49,706,552
541,645,89,87
81,150,450,332
362,307,413,90
490,754,148,149
687,119,174,364
196,223,149,143
228,329,17,59
694,248,36,105
176,476,127,77
330,47,104,99
611,54,406,362
192,612,111,93
471,485,78,55
364,155,491,409
1,327,75,130
610,109,96,76
184,164,212,205
302,537,241,308
0,669,348,162
16,78,571,563
35,38,727,642
651,242,67,40
746,196,275,570
106,234,204,194
35,38,918,702
656,45,261,378
93,64,573,257
140,579,95,100
0,1,162,558
510,181,554,287
588,213,373,67
24,86,997,886
80,529,74,100
313,203,501,431
36,92,895,566
720,408,188,153
603,389,194,343
179,121,181,411
252,248,217,204
9,7,324,312
283,68,90,85
527,177,162,261
349,0,175,115
276,292,125,195
3,273,607,338
215,273,124,108
255,87,245,370
463,287,260,117
8,304,76,193
171,570,151,115
268,78,354,440
155,286,488,198
294,197,424,560
61,39,363,142
148,10,247,325
510,468,251,71
20,22,538,411
372,408,326,258
367,38,96,119
227,462,334,459
491,576,118,105
258,211,226,77
83,105,931,394
373,394,30,53
138,145,101,89
509,502,80,115
893,215,55,78
534,265,446,242
834,134,27,51
205,115,526,526
484,405,76,61
114,547,908,215
381,307,236,418
58,30,952,175
410,356,103,103
699,83,305,681
2,356,418,282
92,168,825,454
16,374,835,304
187,81,427,373
260,161,497,301
113,30,637,539
632,405,32,21
180,64,661,601
532,338,84,131
353,242,602,336
69,133,444,320
492,30,83,76
48,168,898,87
870,253,59,87
286,88,455,474
343,456,141,340
155,44,462,289
6,474,554,200
23,16,892,675
2,0,1015,311
413,149,103,397
133,10,637,646
125,112,795,506
35,38,727,642
505,217,90,182
89,46,503,364
215,221,272,93
258,94,528,425
19,377,367,266
128,271,807,589
251,119,149,146
35,38,918,702
138,153,114,55
148,60,389,570
11,4,392,466
42,150,201,389
395,172,117,120
341,128,80,103
329,374,118,151
478,234,203,239
249,420,207,408
368,440,245,327
772,472,105,103
2,1,815,1016
484,478,121,198
819,232,77,81
471,86,277,365
473,292,295,228
380,516,185,117
20,23,549,419
698,411,324,188
494,31,111,125
777,339,86,65
817,481,42,19
133,18,621,503
163,335,111,93
250,256,98,122
181,393,323,301
755,60,207,361
623,133,190,169
290,25,232,601
93,333,449,250
235,804,187,329
147,537,112,74
131,1,677,763
301,224,397,146
909,16,112,279
396,214,207,727
82,155,250,452
166,77,160,90
298,492,284,124
517,296,506,90
244,194,261,244
937,124,63,143
89,230,689,223
368,196,89,117
239,437,163,95
166,391,153,163
495,7,187,159
426,388,118,209
5,61,798,507
346,103,117,115
288,83,138,144
206,48,150,396
327,244,30,36
562,499,21,59
427,183,134,264
367,802,186,217
35,42,440,515
498,70,200,131
608,188,58,188
154,438,74,116
318,440,143,99
149,476,159,67
198,221,675,394
144,410,14,43
545,183,76,100
511,408,174,336
510,264,484,481
357,533,207,73
428,32,78,153
277,223,102,368
207,164,308,384
302,144,407,513
344,665,192,159
225,245,51,90
410,346,87,94
241,146,781,447
198,9,380,233
193,72,260,403
161,107,131,232
278,178,332,263
647,882,130,102
640,440,96,98
26,378,94,65
190,252,187,365
480,151,393,452
327,375,411,332
711,301,105,65
0,534,628,442
223,41,110,245
13,180,902,478
275,10,433,558
417,78,512,460
300,363,131,42
6,3,1015,551
5,667,33,46
219,631,128,73
125,58,267,225
620,48,247,557
517,106,506,595
81,443,102,175
345,255,468,187
116,505,442,83
328,131,156,121
607,100,282,209
375,17,26,48
8,102,130,267
267,152,652,471
463,283,115,89
444,105,77,58
111,129,890,608
220,520,148,103
390,301,220,162
357,438,343,152
557,55,460,133
500,323,81,100
779,12,138,222
344,550,309,189
128,481,90,98
279,205,731,424
318,113,70,57
395,153,365,261
13,90,160,504
396,191,261,370
188,508,472,198
648,33,351,645
20,19,1000,655
453,280,168,298
340,103,243,375
0,113,1022,412
275,135,415,542
336,67,40,128
575,51,630,886
150,707,93,94
351,70,522,567
222,344,150,198
83,58,519,503
240,482,105,535
750,221,46,73
420,270,332,146
137,11,83,78
781,329,223,257
13,505,193,38
291,498,16,21
430,421,42,93
54,95,241,98
166,92,47,53
55,1,169,352
714,114,87,193
0,357,1022,315
137,92,283,201
18,181,476,479
236,601,228,73
208,207,322,324
768,500,32,30
11,2,419,545
311,181,317,387
139,276,59,156
433,195,157,286
55,142,959,509
196,251,151,134
5,8,509,564
356,75,292,531
377,145,155,143
732,441,155,23
161,173,38,145
202,203,17,34
0,296,198,520
541,251,105,190
175,506,46,62
0,582,124,184
746,407,258,197
873,275,16,64
398,363,84,177
516,369,36,8
163,165,830,313
673,318,61,84
528,380,67,92
691,117,174,550
373,325,235,70
235,154,571,444
70,544,342,205
434,23,332,996
461,776,109,136
207,261,757,190
194,633,322,202
190,407,334,99
421,277,402,320
288,719,217,92
447,37,150,165
357,189,157,276
28,28,933,709
184,316,405,258
903,6,119,431
22,65,536,772
166,41,658,634
9,7,95,296
333,132,37,17
270,207,84,160
552,285,106,143
63,165,179,182
76,440,163,152
359,471,185,291
289,73,542,570
365,313,656,394
549,383,393,108
495,623,77,71
339,336,162,87
204,662,120,115
529,51,119,276
104,211,648,314
550,7,35,46
603,207,25,25
678,543,84,78
269,19,712,744
661,217,143,143
538,282,40,152
743,506,54,43
484,217,58,70
427,258,163,272
394,648,38,16
636,288,295,468
50,192,836,520
615,416,207,247
191,142,444,443
452,150,86,71
240,26,300,741
81,339,204,190
237,7,785,751
1,0,638,423
114,363,61,39
1,350,552,310
22,25,600,458
399,235,186,645
261,336,196,90
494,316,134,220
348,109,323,175
326,499,20,46
39,566,57,45
81,218,220,270
43,79,239,601
212,102,326,577
345,864,101,44
648,199,65,62
497,48,269,298
182,430,236,254
132,496,73,177
394,98,413,551
153,345,129,81
721,718,36,20
348,23,130,163
65,369,99,147
838,259,83,193
88,393,308,427
160,247,356,512
173,321,59,215
782,658,16,39
305,398,46,95
42,214,980,326
378,578,20,10
525,334,87,115
1,2,1016,760
35,38,710,629
35,38,918,702
509,179,234,155
333,425,11,14
197,248,43,151
607,22,92,39
624,274,70,42
136,69,270,952
130,496,59,67
261,885,23,14
494,104,217,662
366,583,507,393
155,94,93,51
95,357,304,400
312,555,366,403
93,33,918,987
3,65,102,233
28,10,184,140
168,382,368,354
579,336,81,81
